logH	logD	time

# ----------------------------------------------------------
#
#   Exposure and densities value as described in:
#   Ralph W. Lambrecht, Chris Woodhouse: Way Beyond Monochrome
#   Second Edition, 2011
#
# ----------------------------------------------------------

0	0	0
0.100343331887994	0.03	0
0.200686663775988	0.07	0
0.301029995663981	0.1	0
0.401373327551974	0.14	0
0.50171665943997	0.19	0
0.602059991327962	0.24	0
0.702403323215955	0.28	0
0.802746655103951	0.33	0
0.903089986991943	0.38	0
1.00343331887994	0.43	0
1.10377665076793	0.49	0
1.20411998265592	0.54	0
1.30446331454392	0.6	0
1.40480664643191	0.66	0
1.50514997831991	0.72	0
1.60549331020790	0.78	0
1.70583664209589	0.84	0
1.80617997398389	0.9	0
1.90652330587188	0.97	0
2.00686663775988	1.03	0
2.10720996964787	1.1	0
2.20755330153586	1.16	0
2.30789663342386	1.22	0
2.40823996531185	1.29	0
2.50858329719984	1.35	0
2.60892662908784	1.42	0
2.70926996097583	1.48	0
2.80961329286382	1.55	0
2.90995662475182	1.61	0
3.01029995663981	1.67	0
3.11064328852780	1.73	0
3.21098662041581	1.79	0
3.31132995230379	1.85	0
3.41167328419178	1.91	0
3.51201661607979	1.97	0
3.61235994796777	2.02	0
